,CHECKING ACCOUNT,DUR,EDUCATION,AMOUNT,SAVINGS ACCOUNT,EMPLOYMENT,INSTALL_RATE,CO-APPLICANT,GUARANTOR,PRESENT_RESIDENT,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,JOB,NUM_DEPENDENTS,RESPONSE,AVERAGE AMOUNT PER SAVINGS ACCOUNT
507,1,15,0,3,1,0,1,0,0,2,0,0,34,0,0,1,1,3,2,False,6850.0
818,0,36,0,3,0,0,2,1,0,3,0,0,43,0,0,1,1,3,1,True,inf
452,3,12,0,2,0,4,2,0,0,4,0,0,34,0,0,1,2,2,1,True,inf
368,0,36,0,3,0,4,4,0,0,2,0,0,42,0,0,1,1,2,2,False,inf
242,0,48,0,3,0,4,3,0,0,4,0,1,24,0,0,0,2,2,2,False,inf
929,0,12,0,1,0,2,4,0,0,2,1,0,43,0,0,1,2,1,2,True,inf
262,0,18,0,3,0,4,2,0,0,4,0,1,36,0,0,0,3,3,1,True,inf
810,1,8,0,1,0,1,3,0,0,2,1,0,26,0,0,1,1,2,1,True,inf
318,3,12,1,1,0,2,4,0,0,2,0,0,32,0,0,1,2,2,1,True,inf
49,3,12,0,2,1,2,4,1,0,2,1,0,28,0,0,1,1,2,1,True,2073.0
446,0,36,0,2,0,1,4,0,0,4,0,0,34,0,0,1,1,2,1,False,inf
142,0,27,0,3,0,2,3,0,0,2,0,0,27,0,0,1,1,3,1,True,inf
968,3,42,0,3,4,3,2,0,0,4,0,0,29,0,1,0,1,2,1,True,1791.5
345,3,15,0,1,0,2,4,0,0,2,0,0,43,0,0,1,1,1,1,True,inf
971,3,24,0,3,0,2,1,0,0,4,0,0,43,0,0,1,1,1,2,True,inf
133,3,18,0,2,0,2,4,0,0,4,0,1,47,1,0,0,2,2,1,True,inf
104,3,12,0,2,4,1,2,0,0,4,0,0,26,0,1,0,1,2,1,True,611.25
6,3,24,0,2,2,4,3,0,0,4,0,0,53,0,0,1,1,2,1,True,1417.5
600,1,7,0,2,0,1,1,0,1,1,1,0,45,0,0,1,1,2,1,True,inf
496,1,36,0,3,1,1,4,1,0,1,0,1,29,0,1,0,1,3,1,False,9034.0
