,Survived,PassengerClass,Sex,Age,SibSp,Parch,Fare,Embarked,Emarked,CurrentAge,Disc,DeparturePort,Fare_Category,Fare_Category_Labels
553,1,3,1,22.0,0,0,7.225,C,2,112.0,1.80625,C,"(-0.001, 7.854]",1
849,1,1,0,28.0,1,0,89.1042,C,2,118.0,22.27605,C,"(39.688, 512.329]",5
637,0,2,1,31.0,1,1,26.25,S,1,121.0,6.5625,S,"(21.317, 39.688]",4
418,0,2,1,30.0,0,0,13.0,S,1,120.0,3.25,S,"(10.5, 21.317]",3
420,0,3,1,28.0,0,0,7.8958,C,2,118.0,1.97395,C,"(7.854, 10.5]",2
101,0,3,1,28.0,0,0,7.8958,S,1,118.0,1.97395,S,"(7.854, 10.5]",2
2,1,3,1,26.0,0,0,7.925,S,1,116.0,1.98125,S,"(7.854, 10.5]",2
226,1,2,1,19.0,0,0,10.5,S,1,109.0,2.625,S,"(7.854, 10.5]",2
352,0,3,1,15.0,1,1,7.2292,C,2,105.0,1.8073,C,"(-0.001, 7.854]",1
724,1,1,1,27.0,1,0,53.1,S,1,117.0,13.275,S,"(39.688, 512.329]",5
